iter	RMSE
0	0.4097210356
1	0.4093868791
2	0.409048608
3	0.4087014142
4	0.4084028871
5	0.4080750483
6	0.4077498612
7	0.4074333779
8	0.4071026202
9	0.4067827163
10	0.4064753426
11	0.4061599599
12	0.4058496858
13	0.4055540269
14	0.4052367714
15	0.4049379448
16	0.4046327426
17	0.4043407944
18	0.4040514039
19	0.4037667424
20	0.4035011203
21	0.4032196855
22	0.4029477315
23	0.4026844908
24	0.4024042698
25	0.4021397732
26	0.4018913872
27	0.4016132162
28	0.4013331348
29	0.401079755
30	0.4008175139
31	0.4005832266
32	0.400335812
33	0.4000832387
34	0.3998412846
35	0.399609768
36	0.3993681352
37	0.3991245679
38	0.3988922172
39	0.3986691117
40	0.3984394345
41	0.3982150776
42	0.3979957632
43	0.3977713848
44	0.3975553585
45	0.3973441498
46	0.3971397094
47	0.3969109399
48	0.3967014291
49	0.3964901328
50	0.3962661185
51	0.3960709564
52	0.3958438545
53	0.3956375034
54	0.3954372732
55	0.3952406944
56	0.3950581947
57	0.3948723152
58	0.3946854358
59	0.3944942123
60	0.3943182272
61	0.3941365081
62	0.3939403217
63	0.3937542327
64	0.3935919521
65	0.3934125641
66	0.3932484374
67	0.3930741868
68	0.3928983634
69	0.3927346611
70	0.392575534
71	0.3924013921
72	0.3922365738
73	0.3920834441
74	0.3919365799
75	0.391778673
76	0.3916162891
77	0.3914471053
78	0.3912825255
79	0.3911336372
80	0.3909880279
81	0.3908382567
82	0.3906949867
83	0.3905429864
84	0.3903783327
85	0.3902389817
86	0.3901122063
87	0.3899784336
88	0.3898416006
89	0.3897078735
90	0.3895855093
91	0.3894550272
92	0.3893203149
93	0.3892014898
94	0.3890783989
95	0.3889512525
96	0.388815441
97	0.3886930931
98	0.3885572704
99	0.388437743
100	0.3882965358
101	0.3881767226
102	0.3880625653
103	0.3879387035
104	0.3878241152
105	0.38770606
106	0.3876040341
107	0.387496968
108	0.387380422
109	0.3872603277
110	0.3871281904
111	0.3870120022
112	0.3869017984
113	0.3868018679
114	0.3866831972
115	0.386567777
116	0.386467859
117	0.3863658134
118	0.386262048
119	0.3861626881
120	0.3860759588
121	0.3859730333
122	0.3858827978
123	0.3857931918
124	0.3857129758
125	0.3856213775
126	0.3855308257
127	0.3854334488
128	0.3853317088
129	0.3852504193
130	0.3851490958
131	0.385071823
132	0.3849680587
133	0.384884422
134	0.3848069886
135	0.384719335
136	0.3846416463
137	0.3845562554
138	0.3844598611
139	0.3843911814
140	0.3843116185
141	0.3842462208
142	0.3841663435
143	0.3840731289
144	0.3839990313
145	0.3839234533
146	0.3838525878
147	0.3837742023
148	0.3836986657
149	0.3836127618
150	0.3835448253
151	0.3834737005
152	0.383400931
153	0.3832809973
154	0.383160263
155	0.383037572
156	0.3829224021
157	0.3828040629
158	0.3826897105
159	0.3825788545
160	0.3824730259
161	0.3823636764
162	0.3822575619
163	0.3821495624
164	0.3820431156
165	0.3819363641
166	0.3818288493
167	0.3817256327
168	0.3816267541
169	0.3815259472
170	0.3814239023
171	0.3813248145
172	0.3812251514
173	0.3811326844
174	0.3810379772
175	0.380943608
176	0.3808495343
177	0.3807565054
178	0.380663195
179	0.3805730945
180	0.3804840281
181	0.3804040903
182	0.3803198886
183	0.3802368573
184	0.38015722
185	0.3800731838
186	0.3799898043
187	0.3799083542
188	0.3798234076
189	0.3797426571
190	0.3796609844
191	0.3795831638
192	0.3795067232
193	0.3794275957
194	0.3793533339
195	0.3792803934
196	0.3792046538
197	0.3791307705
198	0.3790569713
199	0.3789872459
200	0.3789146941
201	0.3788452605
202	0.3787718656
203	0.3787006843
204	0.3786321128
205	0.3785649204
206	0.3785013954
207	0.3784305925
208	0.3783733664
209	0.3783085914
210	0.3782509994
211	0.3781784508
212	0.3781141422
213	0.3780489432
214	0.3779837215
215	0.3779225827
216	0.3778660697
217	0.3778128651
218	0.3777556132
219	0.3776921474
220	0.3776371987
221	0.3775813981
222	0.3775262815
223	0.3774717722
224	0.3774131059
225	0.3773592039
226	0.3773090703
227	0.3772560982
228	0.3771954241
229	0.3771421313
230	0.3770886213
231	0.3770405359
232	0.3769899264
233	0.3769425265
234	0.3768963773
235	0.3768449907
236	0.3767956154
237	0.3767513548
238	0.3766999875
239	0.3766560733
240	0.3766075698
241	0.3765595263
242	0.3765144118
243	0.3764721525
244	0.3764169604
245	0.3763706424
246	0.3763256196
247	0.3762815357
248	0.3762407462
249	0.376197438
250	0.3761529102
251	0.3761104196
252	0.3760656371
253	0.3760276508
254	0.3759853318
255	0.3759458127
256	0.3759017964
257	0.3758724078
258	0.3758357281
259	0.375798666
260	0.3757574952
261	0.3757150286
262	0.375679958
263	0.375640859
264	0.3756052779
265	0.3755598474
266	0.3755200819
267	0.3754864929
268	0.3754527156
269	0.3754251342
270	0.375389411
271	0.375357697
272	0.3753257416
273	0.3752934081
274	0.3752602684
275	0.3752261118
276	0.3751955267
277	0.375162889
278	0.3751342502
279	0.3750995957
280	0.3750697572
281	0.3750405074
282	0.3750066705
283	0.3749626022
284	0.374928307
285	0.3748959656
286	0.3748680779
287	0.374835265
288	0.3748073792
289	0.374780762
290	0.3747533424
291	0.3747260474
292	0.3746981112
293	0.3746619507
294	0.3746356781
295	0.37460859
296	0.3745716239
297	0.3745448008
298	0.3745140069
299	0.3744796741
300	0.374457803
301	0.3744340686
302	0.3744057113
303	0.3743694568
304	0.3743463468
305	0.3743227851
